Fund Name,Category,Subcategory,Company Name,Instrument,Credit Rating,% of Assets
Tata Silver ETF,commodity,Commodities: Silver,Others Silver Commodity,Silver Commodity,--,96.9
Tata Silver ETF FoF Dir,commodity,Commodities: Silver,Tata Silver ETF,Mutual Fund,--,99.92
UTI Silver ETF,commodity,Commodities: Silver,Others Silver Commodity,Silver Commodity,--,98.24
UTI Silver ETF FoF Dir,commodity,Commodities: Silver,UTI Silver ETF,Mutual Fund,--,100.05
Zerodha Silver ETF,commodity,Commodities: Silver,Others Silver Commodity,Silver Commodity,--,99.5
Zerodha Silver ETF FoF Dir,commodity,Commodities: Silver,Zerodha Silver ETF-G,Mutual Fund,--,100.08
360 ONE Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.52
ABSL Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.41
ABSL Gold Reg,commodity,Commodities: Gold,Aditya BSLGOLD ETF,Mutual Fund,--,99.99
Angel One Gold ETF FoF Reg,commodity,Commodities: Gold,Angel One Gold ETF Reg-G,Mutual Fund,--,99.88
Angel One Gold ETF Reg,commodity,Commodities: Gold,Others Gold,Gold,--,97.22
Axis Gold and Silver Passive FoF Reg,commodity,Commodities: Gold,Axis Gold ETF,Mutual Fund,--,58.99
Axis Gold and Silver Passive FoF Reg,commodity,Commodities: Gold,Axis Silver ETF,Mutual Fund,--,41.01
Axis Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.01
Axis Gold Reg,commodity,Commodities: Gold,Axis Gold ETF,Mutual Fund,--,100.02
Bandhan Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,96.77
Bandhan Gold ETF FoF Reg,commodity,Commodities: Gold,Bandhan Gold ETF-G,Mutual Fund,--,100.02
Baroda BNP Paribas Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.76
Baroda BNP Paribas Gold ETF FoF Reg,commodity,Commodities: Gold,Baroda BBNPPGOLD ETF,Mutual Fund,--,99.22
Choice Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.75
DSP Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.93
DSP Gold ETF FoF Reg,commodity,Commodities: Gold,DSP Gold ETF,Mutual Fund,--,99.96
Edelweiss Gold and Silver ETF FoF Reg,commodity,Commodities: Gold,Edelweiss Gold ETF,Mutual Fund,--,50.12
Edelweiss Gold and Silver ETF FoF Reg,commodity,Commodities: Gold,Edelweiss SILVER ETF,Mutual Fund,--,49.83
Edelweiss Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.52
Edelweiss Gold ETF FoF Reg,commodity,Commodities: Gold,Edelweiss Gold ETF,Mutual Fund,--,100.12
Groww Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.5
Groww Gold ETF FOF Reg,commodity,Commodities: Gold,Groww Gold ETF-G,Mutual Fund,--,99.27
HDFC Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.44
HDFC Gold ETF Fund of Fund Reg,commodity,Commodities: Gold,HDFC Gold ETF,Mutual Fund,--,100.05
HSBC Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,96.93
HSBC Gold ETF FoF Reg,commodity,Commodities: Gold,HSBC Gold ETF-G,Mutual Fund,--,99.05
ICICI Pru Gold ETF FoF,commodity,Commodities: Gold,ICICI GOLDI ETF,Mutual Fund,--,99.91
ICICI Pru Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.07
Invesco India Gold ETF FoF Reg,commodity,Commodities: Gold,Invesco INGOLD ETF,Mutual Fund,--,98.11
Kotak Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.52
Kotak Gold Reg,commodity,Commodities: Gold,KOTAKGOLD,Mutual Fund,--,99.82
Kotak Gold Silver Passive FoF Reg,commodity,Commodities: Gold,Kotak SILVE ETF,Mutual Fund,--,51.52
Kotak Gold Silver Passive FoF Reg,commodity,Commodities: Gold,KOTAKGOLD,Mutual Fund,--,46.76
LIC MF Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.06
LIC MF Gold ETF FoF Reg,commodity,Commodities: Gold,LIC MF Gold ETF,Mutual Fund,--,99.99
Mirae Asset Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.75
Mirae Asset Gold ETF FoF Reg,commodity,Commodities: Gold,Mirae GOLD ETF,Mutual Fund,--,100.39
Mirae Asset Gold Silver Passive FoF Reg,commodity,Commodities: Gold,Mirae GOLD ETF,Mutual Fund,--,55.64
Mirae Asset Gold Silver Passive FoF Reg,commodity,Commodities: Gold,Mirae SILVR ETF,Mutual Fund,--,44.42
Motilal Oswal Gold and Silver Passive FoF Reg,commodity,Commodities: Gold,Motilal Oswal Gold ETF-G,Mutual Fund,--,64.35
Motilal Oswal Gold and Silver Passive FoF Reg,commodity,Commodities: Gold,Motilal Oswal Silver ETF-G,Mutual Fund,--,35.79
Motilal Oswal Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.32
Nippon India ETF Gold BeES,commodity,Commodities: Gold,Others Gold,Gold,--,98.33
Nippon India Gold Savings Reg,commodity,Commodities: Gold,Nippon GOLDBEES ETF,Mutual Fund,--,100
Quantum Gold,commodity,Commodities: Gold,Others Gold,Gold,--,98.74
Quantum Gold Savings Reg,commodity,Commodities: Gold,Quantum Gold,Mutual Fund,--,100.02
SBI Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.21
SBI Gold Reg,commodity,Commodities: Gold,SBI Gold ETF,Mutual Fund,--,100.07
Tata Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,97.4
Tata Gold ETF FoF Reg,commodity,Commodities: Gold,Tata Gold ETF,Mutual Fund,--,99.93
The Wealth Company Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,95.6
The Wealth Company Gold ETF FoF Reg,commodity,Commodities: Gold,The Wealth Company Gold ETF-G,Mutual Fund,--,98.65
Union Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,96.91
Union Gold ETF FoF Reg,commodity,Commodities: Gold,Union Gold ETF-G,Mutual Fund,--,99.04
UTI Gold ETF FoF Reg,commodity,Commodities: Gold,GOLDSHARE,Mutual Fund,--,100.05
UTI Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,98.79
Zerodha Gold ETF,commodity,Commodities: Gold,Others Gold,Gold,--,99.08
